area_type,availability,location,size,society,total_sqft,bath,balcony,price
2,0,Electronic City Phase II,3,1781,1056,2.0,1.0,39.07
1,1,Chikka Tirupathi,8,433,2600,5.0,3.0,120.0
2,1,Lingadheeranahalli,5,494,1521,3.0,1.0,95.0
2,1,Whitefield,3,2353,1170,2.0,1.0,38.0
1,1,Whitefield,8,76,2785,5.0,3.0,295.0
2,1,7th Phase JP Nagar,3,2231,1000,2.0,1.0,38.0
1,1,Sarjapur,6,334,2250,3.0,2.0,148.0
2,1,Mysore Road,3,723,1175,2.0,2.0,73.5
2,1,Bisuvanahalli,5,2270,1180,3.0,2.0,48.0
2,1,Raja Rajeshwari Nagar,5,2017,1540,3.0,3.0,60.0
2,1,Ramakrishnappa Layout,5,91,2770,4.0,2.0,290.0
2,0,Binny Pete,5,402,1755,3.0,1.0,122.0
1,1,Thanisandra,8,398,2800,5.0,2.0,380.0
2,0, Thanisandra,1,1180,510,1.0,0.0,25.25
2,1,Electronic City,3,2579,660,1.0,1.0,23.1
2,0,Ramagondanahalli,3,1879,1151,2.0,2.0,48.77
2,1,Electronic City,5,2369,1025,2.0,1.0,47.0
2,0,Yelahanka,7,240,2100 - 2850,4.0,0.0,186.0
2,1,Bisuvanahalli,5,2270,1075,2.0,1.0,35.0
2,1,Hebbal,5,483,1760,2.0,2.0,123.0
2,1,Raja Rajeshwari Nagar,5,2017,1693,3.0,3.0,57.39
2,0,Kanakpura Road,3,2062,700,2.0,1.0,36.0
2,1,Kundalahalli,5,572,1724,3.0,2.0,125.0
2,0,Sarjapur  Road,5,2277,1254,3.0,2.0,38.0
2,1,Ganga Nagar,2,2359,600,1.0,0.0,38.0
2,0,Kanakpura Road,3,574,1330.74,2.0,2.0,91.79
2,1,Doddathoguru,3,2465,970,2.0,0.0,33.0
2,0,Whitefield,3,718,1459,2.0,1.0,94.82
2,1,Adarsh Nagar,3,1935,1270,2.0,1.0,50.0
2,0,Bhoganhalli,5,784,1670,3.0,1.0,99.0
3,1,Whitefield,5,828,2010,3.0,2.0,91.0
2,1,Lakshminarayana Pura,3,604,1185,2.0,2.0,75.0
2,1,Yelahanka,5,919,1600,2.0,3.0,75.0
2,1,Begur Road,3,2049,1200,2.0,2.0,44.0
2,1,Ramakrishnappa Layout,3,91,1500,2.0,2.0,185.0
2,1,Ganga Nagar,3,1751,845,2.0,1.0,55.0
1,1,Whitefield,8,14,5700,5.0,3.0,650.0
3,1,Varthur,3,2177,1160,2.0,2.0,44.0
2,0,Gunjur,3,2059,1140,2.0,3.0,43.0
2,0,Begur Road,3,714,1358,2.0,1.0,80.58
2,1,Hegde Nagar,5,560,1569,3.0,1.0,101.0
2,0,Haralur Road,3,676,1240,2.0,1.0,70.0
2,1,Hennur Road,5,362,2089,3.0,2.0,140.0
3,1,Cholanayakanahalli,5,190,2511,3.0,3.0,205.0
2,1,Kodanda Reddy Layout,5,589,1660,2.0,2.0,105.0
2,0,Yelahanka,3,721,1326,2.0,2.0,78.0
2,1,EPIP Zone,5,601,1499,5.0,2.0,102.0
2,0,Dasanapura,3,2119,708,2.0,2.0,37.0
2,1,Kasavanhalli,3,1780,1060,2.0,2.0,58.06
3,1,Sanjay nagar,3,1218,1000,2.0,2.0,70.0
2,0,Thanisandra,3,892,1296,2.0,3.0,80.0
1,1,Kengeri,8,150,2894,4.0,1.0,245.0
2,1,Yeshwanthpur,5,1116,2502,3.0,3.0,138.0
3,1,Chandapura,3,2580,650,1.0,1.0,17.0
1,1,Kothanur,6,323,2400,2.0,1.0,150.0
2,1,Green View Layout,3,2271,1007,2.0,2.0,43.0
2,1,Shantiniketan Layout,3,1989,1200,2.0,2.0,50.0
3,1,Rajaji Nagar,5,151,1640,3.0,2.0,229.0
2,0,Devanahalli,3,1157,1260,2.0,2.0,66.78
2,1,Byatarayanapura,5,1038,1413,2.0,2.0,75.0
2,1,Whitefield,3,1818,1116,2.0,1.0,51.91
2,1,Electronic City,5,2085,1530,2.0,1.0,45.9
3,1,Sarjapur  Road,6,516,2497,3.0,2.0,140.0
2,1,Kengeri,5,1689,1540,2.0,3.0,64.0
2,1,Thanisandra,5,833,1427,3.0,2.0,120.0
2,1,Akshaya Nagar,5,228,2061,3.0,1.0,200.0
2,0,Hebbal,7,139,3067 - 8156,4.0,0.0,477.0
2,0,Devanahalli,5,1901,1282,2.0,2.0,68.52
3,1,LB Shastri Nagar,5,1387,1600,3.0,2.0,65.0
2,1,Hormavu,3,989,1500,2.0,1.0,78.0
3,1,Peenya,5,543,1870,3.0,3.0,110.0
1,1,Sarjapur,6,1017,1600,3.0,1.0,75.0
2,1,Electronic City,3,2579,880,1.0,1.0,16.5
2,1,Kudlu Gate,5,871,1535,3.0,2.0,83.0
3,1,Kanakpura Road,3,1674,950,2.0,1.0,57.0
2,0,Devanahalli,3,1376,1360,2.0,1.0,65.0
2,0,8th Phase JP Nagar,3,1237,1042 - 1105,2.0,0.0,54.005
2,0,Chandra Layout,5,836,1260,2.0,2.0,85.05
2,0,Yelahanka,9,240,3050,5.0,1.0,213.0
2,1,Kasavanhalli,5,670,1563.05,3.0,1.0,105.0
2,0,Anandapura,3,2013,1167,2.0,1.0,43.76
2,1,Kengeri Satellite Town,3,2425,890,2.0,1.0,35.0
2,1,Basavanapura,5,2314,1612,3.0,3.0,46.74
2,0,Mysore Road,5,1582,1710,4.0,2.0,91.31
2,1,Kannamangala,3,1699,957,2.0,1.0,58.0
2,1,Hulimavu,3,1944,1125,2.0,2.0,50.0
2,0,Electronic City Phase II,3,2453,1020,2.0,1.0,30.6
2,1,Thanisandra,5,398,1735,3.0,3.0,135.0
2,1,Thanisandra,5,336,2050,3.0,1.0,145.0
2,0,Hosa Road,3,2478,1063,2.0,1.0,32.0
2,1,Keshava Nagar,5,348,1904,3.0,1.0,150.0
2,1,RMV Extension,5,246,2000,3.0,1.0,175.0
2,0,Sarjapur,3,2207,1145 - 1340,2.0,0.0,43.49
2,1,Tejaswini Nagar,5,992,1425,2.0,2.0,75.0
